,loss,accuracy,val_loss,val_accuracy
0,2.4500515460968018,0.2108870893716812,2.203934907913208,0.34593573212623596
1,2.050358533859253,0.31814515590667725,1.9212974309921265,0.3185255229473114
2,1.7526510953903198,0.3221774101257324,1.6559280157089233,0.34593573212623596
3,1.4875799417495728,0.3491935431957245,1.4565824270248413,0.34877127408981323
4,1.3062018156051636,0.3687500059604645,1.3425095081329346,0.3695652186870575
5,1.2058827877044678,0.3719758093357086,1.288193941116333,0.37051039934158325
6,1.1476175785064697,0.3804435431957245,1.259781002998352,0.3742911219596863
7,1.1087218523025513,0.3925403356552124,1.244232416152954,0.39035916328430176
8,1.0775343179702759,0.39919355511665344,1.233583688735962,0.39508506655693054
9,1.0490989685058594,0.40947580337524414,1.2252367734909058,0.3875236213207245
10,1.0182727575302124,0.4189516007900238,1.2407792806625366,0.371455579996109
11,0.997886061668396,0.4205645024776459,1.2149378061294556,0.3998109698295593
12,0.9700403213500977,0.43326613306999207,1.2122604846954346,0.39508506655693054
13,0.9392149448394775,0.4419354796409607,1.233093500137329,0.39508506655693054
14,0.9313311576843262,0.44616934657096863,1.2163337469100952,0.3827977180480957
15,0.9002386927604675,0.457862913608551,1.2087777853012085,0.3913043439388275
16,0.8750914931297302,0.46370968222618103,1.2219668626785278,0.38374289870262146
17,0.8495028614997864,0.48165321350097656,1.2162340879440308,0.38846880197525024
18,0.8123605847358704,0.4945564568042755,1.21609628200531,0.3875236213207245
19,0.7800242304801941,0.5135080814361572,1.2245643138885498,0.38657844066619873
20,0.7496753334999084,0.5300403237342834,1.2356559038162231,0.38657844066619873
21,0.7180004715919495,0.5528225898742676,1.2473440170288086,0.38846880197525024
22,0.6889292597770691,0.5709677338600159,1.2548751831054688,0.38374289870262146
23,0.6672952771186829,0.5798386931419373,1.264949083328247,0.3799622058868408
24,0.6566877365112305,0.5879032015800476,1.2854317426681519,0.37901702523231506
25,0.6414356231689453,0.6000000238418579,1.286971926689148,0.38374289870262146
26,0.622627317905426,0.6044355034828186,1.263018012046814,0.3846880793571472
27,0.608469545841217,0.6088709831237793,1.25309419631958,0.3827977180480957
28,0.5930414199829102,0.6229838728904724,1.2585809230804443,0.385633260011673
29,0.5759575366973877,0.6377016305923462,1.2511415481567383,0.3809073865413666
